Segment,Field,Field_Name,Component,Component_Name,Subcomponent,Subcomponent_Name
BHS,1,Batch Field Separator,,,,
BHS,2,Batch Encoding Characters,,,,
BHS,3,Batch Sending Application,1,Namespace ID,,
BHS,3,Batch Sending Application,2,Universal ID,,
BHS,3,Batch Sending Application,3,Universal ID Type,,
BHS,4,Batch Sending Facility,1,Namespace ID,,
BHS,4,Batch Sending Facility,2,Universal ID,,
BHS,4,Batch Sending Facility,3,Universal ID Type,,
BHS,5,Batch Receiving Application,1,Namespace ID,,
BHS,5,Batch Receiving Application,2,Universal ID,,
BHS,5,Batch Receiving Application,3,Universal ID Type,,
BHS,6,Batch Receiving Facility,1,Namespace ID,,
BHS,6,Batch Receiving Facility,2,Universal ID,,
BHS,6,Batch Receiving Facility,3,Universal ID Type,,
BHS,7,Batch Creation Date/Time,1,Time,,
BHS,7,Batch Creation Date/Time,2,Degree of Precision,,
BHS,8,Batch Security,,,,
BHS,9,Batch Name/ID/Type,,,,
BHS,10,Batch Comment,,,,
BHS,11,Batch Control ID,,,,
BHS,12,Reference Batch Control ID,,,,
BTS,1,Batch Message Count,,,,
BTS,2,Batch Comment,,,,
BTS,3,Batch Totals,,,,
DSC,1,Continuation Pointer,,,,
DSC,2,Continuation Style,,,,
ERR,1,Error Code and Location,1,Segment ID,,
ERR,1,Error Code and Location,2,Segment Sequence,,
ERR,1,Error Code and Location,3,Field Position,,
ERR,1,Error Code and Location,4,Code Identifying Error,1,Identifier
ERR,1,Error Code and Location,4,Code Identifying Error,2,Text
ERR,1,Error Code and Location,4,Code Identifying Error,3,Name of Coding System
ERR,1,Error Code and Location,4,Code Identifying Error,4,Alternate Identifier
ERR,1,Error Code and Location,4,Code Identifying Error,5,Alternate Text
ERR,1,Error Code and Location,4,Code Identifying Error,6,Name of Alternate Coding System
ERR,2,Error Location,1,Segment ID,,
ERR,2,Error Location,2,Segment Sequence,,
ERR,2,Error Location,3,Field Position,,
ERR,2,Error Location,4,Field Repetition,,
ERR,2,Error Location,5,Component Number,,
ERR,2,Error Location,6,Sub-Component Number,,
ERR,3,HL7 Error Code,1,Identifier,,
ERR,3,HL7 Error Code,2,Text,,
ERR,3,HL7 Error Code,3,Name of Coding System,,
ERR,3,HL7 Error Code,4,Alternate Identifier,,
ERR,3,HL7 Error Code,5,Alternate Text,,
ERR,3,HL7 Error Code,6,Name of Alternate Coding System,,
ERR,3,HL7 Error Code,7,Coding System Version ID,,
